Feature,Importance
Feature 740,5.5867353e-05
Feature 741,6.08493e-05
Feature 742,5.3076084e-05
Feature 743,6.499692e-05
Feature 744,4.797419e-05
Feature 745,6.407129e-05
Feature 746,6.802064e-05
Feature 747,5.2428997e-05
Feature 748,5.262904e-05
Feature 749,5.3362553e-05
Feature 750,7.133822e-05
Feature 751,4.563457e-05
Feature 752,5.92139e-05
Feature 753,3.7925194e-05
Feature 754,9.943285e-05
Feature 755,3.1746484e-05
Feature 756,4.3427946e-05
Feature 757,4.662887e-05
Feature 758,7.1145296e-05
Feature 759,3.9684226e-05
Feature 760,7.219426e-05
Feature 761,5.382727e-05
Feature 762,5.2879586e-05
Feature 763,6.687085e-05
Feature 764,3.7959628e-05
Feature 765,4.9817485e-05
Feature 766,5.3005246e-05
Feature 767,6.5040695e-05
Feature 768,7.30821e-05
Feature 769,5.5603912e-05
Feature 770,8.942127e-05
Feature 771,6.2340485e-05
Feature 772,7.445165e-05
Feature 773,6.333177e-05
Feature 774,3.8444672e-05
Feature 775,3.0613333e-05
Feature 776,5.7079134e-05
Feature 777,4.031681e-05
Feature 778,3.6471687e-05
Feature 779,4.5368182e-05
Feature 780,4.6835587e-05
Feature 781,5.2447474e-05
Feature 782,7.57396e-05
Feature 783,8.2129496e-05
Feature 784,4.85056e-05
Feature 785,7.101063e-05
Feature 786,5.269823e-05
Feature 787,3.357522e-05
Feature 788,6.212489e-05
Feature 789,6.293623e-05
Feature 790,7.661667e-05
Feature 791,6.0427345e-05
Feature 792,7.628637e-05
Feature 793,6.776153e-05
Feature 794,6.8560745e-05
Feature 795,5.6949146e-05
Feature 796,6.157332e-05
Feature 797,6.1705396e-05
Feature 798,5.65749e-05
Feature 799,8.4174855e-05
Feature 800,6.1230035e-05
Feature 801,7.212174e-05
Feature 802,5.2880125e-05
Feature 803,7.981455e-05
Feature 804,6.0703038e-05
Feature 805,4.730831e-05
Feature 806,5.347282e-05
Feature 807,6.5869666e-05
Feature 808,4.340306e-05
Feature 809,5.3222026e-05
Feature 810,6.053031e-05
Feature 811,5.0331702e-05
Feature 812,5.827417e-05
Feature 813,5.659091e-05
Feature 814,5.109723e-05
Feature 815,4.6909863e-05
Feature 816,5.9824233e-05
Feature 817,5.5294302e-05
Feature 818,7.0295835e-05
Feature 819,6.4504224e-05
Feature 820,5.0483824e-05
Feature 821,4.682001e-05
Feature 822,3.931914e-05
Feature 823,8.431328e-05
Feature 824,8.3668325e-05
Feature 825,6.406727e-05
Feature 826,8.394052e-05
Feature 827,5.7335033e-05
Feature 828,6.218901e-05
Feature 829,4.183288e-05
Feature 830,6.807211e-05
Feature 831,7.479011e-05
Feature 832,7.370785e-05
Feature 833,7.90612e-05
Feature 834,4.3200314e-05
Feature 835,5.2032858e-05
Feature 836,4.407377e-05
Feature 837,6.0036135e-05
Feature 838,6.038505e-05
Feature 839,6.9023474e-05
Feature 840,6.9478e-05
Feature 841,7.2963405e-05
Feature 842,5.9525373e-05
Feature 843,6.8275665e-05
Feature 844,7.647728e-05
Feature 845,7.469205e-05
Feature 846,5.7708246e-05
Feature 847,7.657898e-05
Feature 848,7.356215e-05
Feature 849,5.7726207e-05
Feature 850,6.9919064e-05
Feature 851,7.599578e-05
Feature 852,7.8771685e-05
Feature 853,6.0253533e-05
Feature 854,5.3829397e-05
Feature 855,5.5742887e-05
Feature 856,5.4852477e-05
Feature 857,4.7500125e-05
Feature 858,5.3998054e-05
Feature 859,6.478319e-05
Feature 860,5.8090944e-05
Feature 861,3.531415e-05
Feature 862,5.769495e-05
Feature 863,7.458578e-05
Feature 864,5.1570772e-05
Feature 865,6.2474945e-05
