Feature,Importance
Feature 694,2.486915e-06
Feature 695,3.3582144e-06
Feature 696,2.8059374e-06
Feature 697,3.402838e-06
Feature 698,2.6897085e-06
Feature 699,4.3539053e-06
Feature 700,2.6824644e-06
Feature 701,6.0113925e-06
Feature 702,2.6372581e-06
Feature 703,3.376263e-06
Feature 704,2.6800394e-06
Feature 705,3.0044341e-06
Feature 706,4.2505867e-06
Feature 707,3.795535e-06
Feature 708,2.8005043e-06
Feature 709,4.892416e-06
Feature 710,3.7347702e-06
Feature 711,4.687819e-06
Feature 712,2.825412e-06
Feature 713,3.329981e-06
Feature 714,4.784266e-06
Feature 715,3.789263e-06
Feature 716,2.851599e-06
Feature 717,3.84762e-06
Feature 718,1.9842419e-06
Feature 719,3.4113643e-06
Feature 720,3.7634964e-06
Feature 721,2.6588302e-06
Feature 722,3.0341666e-06
Feature 723,2.9793346e-06
Feature 724,2.6277953e-06
Feature 725,2.810359e-06
Feature 726,3.4209236e-06
Feature 727,3.7863813e-06
Feature 728,4.7079016e-06
Feature 729,3.270584e-06
Feature 730,2.4540564e-06
Feature 731,2.8378201e-06
Feature 732,3.0593626e-06
Feature 733,5.294172e-06
Feature 734,2.3714938e-06
Feature 735,3.022027e-06
Feature 736,3.743658e-06
Feature 737,3.6627464e-06
Feature 738,3.148326e-06
Feature 739,6.7539822e-06
Feature 740,2.378243e-06
Feature 741,4.996312e-06
Feature 742,4.62063e-06
Feature 743,2.7258907e-06
Feature 744,3.174285e-06
Feature 745,2.5050228e-06
Feature 746,5.2663613e-06
Feature 747,3.3792537e-06
Feature 748,2.4149097e-06
Feature 749,4.5542074e-06
Feature 750,2.8758298e-06
Feature 751,2.5606448e-06
Feature 752,3.0969454e-06
Feature 753,3.5027344e-06
Feature 754,2.1187843e-06
Feature 755,1.8857796e-06
Feature 756,1.8741139e-06
Feature 757,3.8192507e-06
Feature 758,3.2880378e-06
Feature 759,1.8925231e-06
Feature 760,2.99344e-06
Feature 761,4.717733e-06
Feature 762,2.9481496e-06
Feature 763,2.918672e-06
Feature 764,2.881285e-06
Feature 765,3.30148e-06
Feature 766,4.1737367e-06
Feature 767,3.3271667e-06
Feature 768,3.6651304e-06
Feature 769,2.504582e-06
Feature 770,4.490606e-06
Feature 771,3.2382602e-06
Feature 772,3.1440584e-06
Feature 773,2.6265438e-06
Feature 774,2.6953055e-06
Feature 775,2.0826544e-06
Feature 776,3.0770595e-06
Feature 777,5.307938e-06
Feature 778,2.3185967e-06
Feature 779,3.0925116e-06
Feature 780,2.2886366e-06
Feature 781,2.032262e-06
Feature 782,2.6403789e-06
Feature 783,2.5356662e-06
Feature 784,3.5176672e-06
Feature 785,2.5791844e-06
Feature 786,2.76816e-06
Feature 787,3.300612e-06
Feature 788,3.168636e-06
Feature 789,3.177083e-06
Feature 790,4.006846e-06
Feature 791,3.364827e-06
Feature 792,2.812884e-06
Feature 793,5.118084e-06
Feature 794,7.979818e-06
Feature 795,3.0466979e-06
Feature 796,3.7599727e-06
Feature 797,3.5295643e-06
Feature 798,3.8443e-06
Feature 799,3.4060386e-06
Feature 800,3.9099405e-06
Feature 801,4.9243995e-06
Feature 802,2.9247394e-06
Feature 803,3.1660118e-06
Feature 804,2.9542252e-06
Feature 805,3.131546e-06
Feature 806,5.465073e-06
Feature 807,2.1079818e-06
Feature 808,6.1909095e-06
Feature 809,2.358807e-06
Feature 810,3.0415529e-06
Feature 811,2.9323894e-06
Feature 812,3.3600509e-06
Feature 813,3.830789e-06
Feature 814,2.5058964e-06
Feature 815,2.5119723e-06
Feature 816,6.8691675e-06
Feature 817,3.697409e-06
Feature 818,2.4745964e-06
Feature 819,3.4880127e-06
Feature 820,3.3061572e-06
Feature 821,4.1236626e-06
Feature 822,2.2334098e-06
Feature 823,3.6282092e-06
Feature 824,3.1293193e-06
Feature 825,3.601575e-06
Feature 826,2.701982e-06
Feature 827,3.3478755e-06
Feature 828,3.1142952e-06
Feature 829,2.8785953e-06
Feature 830,6.1816013e-06
Feature 831,6.57849e-06
Feature 832,3.2793196e-06
Feature 833,5.8155247e-06
Feature 834,3.3667043e-06
Feature 835,2.5509446e-06
Feature 836,3.2677083e-06
Feature 837,2.505841e-06
Feature 838,4.462548e-06
Feature 839,5.593255e-06
Feature 840,3.2574196e-06
Feature 841,3.7526336e-06
Feature 842,6.667627e-06
Feature 843,4.572422e-06
Feature 844,3.1247282e-06
Feature 845,4.3707782e-06
Feature 846,3.9682072e-06
Feature 847,3.997518e-06
Feature 848,4.2605457e-06
Feature 849,4.076594e-06
Feature 850,2.748515e-06
Feature 851,3.209141e-06
Feature 852,5.385925e-06
Feature 853,3.4139873e-06
Feature 854,3.7444847e-06
Feature 855,2.4325705e-06
Feature 856,3.5100102e-06
Feature 857,4.1244293e-06
Feature 858,2.3892294e-06
Feature 859,3.863969e-06
Feature 860,2.0832665e-06
Feature 861,1.940535e-06
Feature 862,3.3472097e-06
Feature 863,2.3581836e-06
Feature 864,7.215437e-06
Feature 865,3.0924855e-06
Feature 866,4.3180858e-06
Feature 867,3.4820973e-06
Feature 868,4.839622e-06
Feature 869,2.6064586e-06
Feature 870,4.2398406e-06
Feature 871,3.4338602e-06
Feature 872,3.7728978e-06
Feature 873,3.0497697e-06
Feature 874,3.0333863e-06
Feature 875,2.2103989e-06
Feature 876,2.2085947e-06
Feature 877,3.4213103e-06
Feature 878,3.559829e-06
Feature 879,3.3420772e-06
Feature 880,3.812587e-06
Feature 881,4.2096467e-06
Feature 882,6.972681e-06
Feature 883,3.893812e-06
Feature 884,2.7942608e-06
Feature 885,6.683033e-06
Feature 886,7.068007e-06
Feature 887,3.4949578e-06
Feature 888,5.4389334e-06
Feature 889,2.9407122e-06
Feature 890,2.6588227e-06
Feature 891,9.461856e-06
Feature 892,1.9809943e-06
Feature 893,4.214635e-06
Feature 894,2.4873984e-06
Feature 895,3.0606336e-06
Feature 896,3.3785984e-06
Feature 897,2.1905605e-06
Feature 898,4.4092635e-06
Feature 899,3.045151e-06
Feature 900,3.4107356e-06
Feature 901,3.4496063e-06
Feature 902,5.2793675e-06
Feature 903,2.0995335e-06
Feature 904,3.831252e-06
Feature 905,3.2277146e-06
Feature 906,2.5713525e-06
Feature 907,4.573396e-06
Feature 908,4.6461023e-06
Feature 909,3.254724e-06
Feature 910,3.9945367e-06
Feature 911,5.2449745e-06
Feature 912,3.1004154e-06
Feature 913,3.465134e-06
Feature 914,5.4018187e-06
Feature 915,4.1196295e-06
Feature 916,2.1180579e-06
Feature 917,3.3385159e-06
Feature 918,3.1883924e-06
Feature 919,2.9889006e-06
Feature 920,3.3384722e-06
Feature 921,4.0241043e-06
Feature 922,2.0898472e-06
Feature 923,3.603761e-06
Feature 924,1.8764463e-06
Feature 925,3.5814737e-06
Feature 926,2.6302155e-06
Feature 927,3.1062366e-06
Feature 928,5.865271e-06
Feature 929,2.8946192e-06
Feature 930,2.8905288e-06
Feature 931,5.321706e-06
Feature 932,2.8090792e-06
Feature 933,3.3930987e-06
Feature 934,4.163498e-06
Feature 935,2.6871737e-06
Feature 936,3.16578e-06
Feature 937,8.220632e-06
Feature 938,3.3778479e-06
Feature 939,5.8388778e-06
Feature 940,3.7554228e-06
Feature 941,4.6704276e-06
Feature 942,2.9720773e-06
Feature 943,2.5220452e-06
Feature 944,3.1081988e-06
Feature 945,4.744234e-06
